Item,Quantity,Cost (USD),Purchase Link
2200KV Brushless Motor,1,7.26,https://s.daraz.com.np/s.ZRkRP
30A ESC,1,6.47,https://s.daraz.com.np/s.ZRkRL
2200mAh LiPo Battery,1,13.88,https://s.daraz.com.np/s.ZRkPR
FlySky Transmitter + Receiver,1,66.99,https://s.daraz.com.np/s.ZRk8n
Servo Motor,2,5.42,https://s.daraz.com.np/s.ZRk9u
Propeller,1,1.30,https://s.daraz.com.np/s.ZRkRG
Foam Board,1,N/A,Local craft or stationery store
Control Horns,As needed,N/A,Local hobby store
Push Rods,As needed,N/A,Local hobby store
Glue (Hot Glue/Foam-safe),As needed,N/A,Local hardware or stationery store
Miscellaneous Parts (connectors, screws, zip ties, etc.),As needed,N/A,Local hobby or hardware store
Total (priced items only),,101.32,
